id,route_name,start_id,finish_id,bus_stops
0,197,8240DB007210,8310B1009901,"['8240DB007210', '8240DB003676', '8240DB005073', '8240DB005074', '8240DB006054', '8240DB004330', '8240DB003679', '8240DB005075', '8240DB005076', '8240DB003682', '8240DB003864', '8240DB003865', '8240DB007133', '8240DB010377', '8240DB007134', '8240DB003867', '8240DB007135', '8240DB007136', '8240DB010378', '8310B133941', '8310B106521', '8310B1009601', '8310B1012201', '8310B133631', '8310B1009801', '8310B1009901']"
1,102,8240DB007348,8240DB000953,"['8240DB007348', '8240DB003669', '8240DB003671', '8240DB003672', '8240DB003078', '8240DB003087', '8240DB006033', '8240DB003089', '8240DB003090', '8240DB003706', '8240DB003707', '8240DB003708', '8240DB003709', '8240DB003710', '8240DB004925', '8240DB004926', '8240DB003678', '8240DB006117', '8240DB001041', '8240DB001050', '8240DB003656', '8240DB003653', '8240DB006055', '8240DB001073', '8240DB003641', '8240DB003642', '8240DB003643', '8240DB003583', '8240DB003584', '8240DB003585', '8240DB003586', '8240DB003587', '8240DB003588', '8240DB003590', '8240DB003589', '8240DB003591', '8240DB003592', '8240DB003593', '8240DB003594', '8240DB003595', '8240DB003596', '8240DB003597', '8240DB003598', '8240DB004465', '8240DB000944', '8240DB000945', '8240DB000947', '8240DB000948', '8240DB007725', '8240DB000950', '8240DB000928', '8240DB000951', '8240DB000952', '8240DB000953']"
2,102,8240DB004381,8240DB003663,"['8240DB004381', '8240DB000935', '8240DB000936', '8240DB000913', '8240DB000914', '8240DB000938', '8240DB000940', '8240DB000941', '8240DB000942', '8240DB000943', '8240DB004503', '8240DB003599', '8240DB003600', '8240DB003601', '8240DB003602', '8240DB003604', '8240DB003616', '8240DB003618', '8240DB003619', '8240DB003620', '8240DB003621', '8240DB003622', '8240DB003623', '8240DB004387', '8240DB003634', '8240DB003635', '8240DB003636', '8240DB000905', '8240DB004331', '8240DB004339', '8240DB007692', '8240DB006010', '8240DB003656', '8240DB003653', '8240DB001039', '8240DB001040', '8240DB006054', '8240DB004330', '8240DB003691', '8240DB003572', '8240DB003701', '8240DB003702', '8240DB003088', '8240DB003704', '8240DB003705', '8240DB000733', '8240DB006015', '8240DB000788', '8240DB000815', '8240DB003663']"
3,104,8220DB004794,8220DB001646,"['8220DB004794', '8220DB001741', '8220DB001742', '8220DB001743', '8220DB001650', '8220DB001652', '8220DB005141', '8220DB001773', '8220DB001774', '8220DB001651', '8220DB004784', '8220DB000608', '8220DB004791', '8220DB004792', '8220DB000662', '8220DB000663', '8220DB001196', '8220DB001197', '8220DB004473', '8220DB000250', '8220DB000251', '8220DB004597', '8220DB000255', '8220DB000218', '8240DB000219', '8220DB000220', '8240DB000221', '8240DB000222', '8240DB000223', '8240DB000224', '8240DB000225', '8240DB000226', '8220DB000114', '8240DB001645', '8220DB001646']"
4,104,8220DB007571,8220DB001738,"['8220DB007571', '8220DB001644', '8220DB001605', '8220DB000228', '8240DB000229', '8240DB000227', '8240DB000230', '8240DB000231', '8240DB000232', '8220DB000233', '8220DB000242', '8220DB000243', '8220DB000253', '8220DB000244', '8220DB000245', '8220DB004474', '8220DB004790', '8220DB001220', '8220DB001221', '8220DB000674', '8220DB004389', '8220DB004390', '8220DB000530', '8220DB004785', '8220DB007607', '8220DB001764', '8220DB001765', '8220DB001766', '8220DB001767', '8220DB007129', '8220DB001734', '8220DB001735', '8220DB001736', '8220DB001737', '8220DB001738']"
5,111,8250DB003058,8250DB005046,"['8250DB003058', '8250DB003059', '8250DB003060', '8250DB003061', '8250DB003062', '8250DB003063', '8250DB003064', '8250DB003065', '8250DB003066', '8250DB003067', '8250DB003068', '8250DB003069', '8250DB003070', '8250DB004983', '8250DB002042', '8250DB002043', '8250DB002044', '8250DB002045', '8250DB002046', '8250DB007553', '8250DB006082', '8250DB003205', '8250DB003206', '8250DB003207', '8250DB003208', '8250DB003209', '8250DB003210', '8250DB004981', '8250DB003211', '8250DB003212', '8250DB003213', '8250DB003214', '8250DB003215', '8250DB003216', '8250DB003217', '8250DB003218', '8250DB003219', '8250DB003220', '8250DB003221', '8250DB003222', '8250DB003223', '8250DB003134', '8250DB003143', '8250DB003144', '8250DB005046']"
6,111,8250DB007639,8250DB003056,"['8250DB007639', '8250DB007640', '8250DB005047', '8250DB003134', '8250DB003143', '8250DB003144', '8250DB003221', '8250DB003222', '8250DB003223', '8250DB003224', '8250DB003225', '8250DB003226', '8250DB003227', '8250DB003228', '8250DB003229', '8250DB007472', '8250DB003230', '8250DB003232', '8250DB003233', '8250DB003234', '8250DB004462', '8250DB003235', '8250DB003236', '8250DB003237', '8250DB006103', '8250DB007554', '8250DB002031', '8250DB002032', '8250DB002033', '8250DB002034', '8250DB002035', '8250DB002036', '8250DB002039', '8250DB002037', '8250DB003046', '8250DB003047', '8250DB003048', '8250DB003049', '8250DB003050', '8250DB003051', '8250DB003052', '8250DB003053', '8250DB003054', '8250DB003055', '8250DB003056']"
7,114,8250DB006200,8250DB003201,"['8250DB006200', '8250DB006201', '8250DB006196', '8250DB003532', '8250DB003533', '8250DB003491', '8250DB006007', '8250DB004349', '8250DB003184', '8250DB000449', '8250DB000450', '8250DB003181', '8250DB005142', '8250DB003187', '8250DB003188', '8250DB003189', '8250DB003190', '8250DB003191', '8250DB003192', '8250DB003193', '8250DB003194', '8250DB003195', '8250DB003196', '8250DB003198', '8250DB003199', '8250DB003200', '8250DB003201']"
8,114,8250DB003085,8250DB006198,"['8250DB003085', '8250DB003082', '8250DB003165', '8250DB003166', '8250DB003167', '8250DB003168', '8250DB003169', '8250DB003171', '8250DB003173', '8250DB003174', '8250DB003175', '8250DB003176', '8250DB003177', '8250DB003178', '8250DB003179', '8250DB004984', '8250DB000448', '8250DB004457', '8250DB003182', '8250DB003183', '8250DB004350', '8250DB005143', '8250DB002833', '8250DB006006', '8250DB003493', '8250DB003494', '8250DB006197', '8250DB006198']"
9,161,8230DB002934,8250DB002868,"['8230DB002934', '8230DB002935', '8230DB002936', '8230DB002937', '8230DB002938', '8230DB007440', '8230DB002940', '8230DB002948', '8230DB002949', '8230DB002950', '8230DB002954', '8230DB007067', '8230DB002956', '8230DB002965', '8230DB007448', '8230DB002967', '8230DB002968', '8250DB002969', '8250DB002970', '8250DB004988', '8250DB004707', '8250DB004708', '8250DB004336', '8250DB004337', '8250DB001310', '8250DB001311', '8250DB001312', '8250DB001313', '8250DB001055', '8250DB002868']"
