"id","weather","temperature"
"8220DB000002","Clouds","289.99"
"8220DB000003","Clouds","289.99"
"8220DB000004","Clouds","289.54"
"8220DB000006","Clouds","289.54"
"8220DB000007","Clouds","289.99"
"8220DB000008","Clouds","289.54"
"8220DB000010","Clouds","289.54"
"8220DB000011","Clouds","289.48"
"8220DB000012","Clouds","289.48"
"8220DB000014","Clouds","289.48"
"8220DB000015","Clouds","289.48"
"8220DB000016","Clouds","289.31"
"8220DB000017","Clouds","289.48"
"8220DB000018","Clouds","289.51"
"8220DB000019","Clouds","289.51"
"8220DB000021","Clouds","289.47"
"8220DB000022","Clouds","289.47"
"8220DB000023","Clouds","289.51"
"8220DB000024","Clouds","289.38"
"8220DB000025","Clouds","289.38"
"8220DB000027","Clouds","289.28"
"8220DB000028","Clouds","289.28"
"8220DB000029","Clouds","289.28"
"8220DB000030","Clouds","289.28"
"8220DB000031","Clouds","289.12"
"8220DB000032","Clouds","289.12"
"8220DB000033","Clouds","289.12"
"8220DB000035","Clouds","289.12"
"8220DB000036","Clouds","289.12"
"8220DB000037","Clouds","289.18"
"8220DB000038","Clouds","289.28"
"8220DB000039","Clouds","289.28"
"8220DB000040","Clouds","289.38"
"8220DB000041","Clouds","289.38"
"8220DB000042","Clouds","289.51"
"8220DB000043","Clouds","289.47"
"8220DB000044","Clouds","289.47"
"8220DB000045","Clouds","289.47"
"8220DB000046","Clouds","289.51"
"8220DB000047","Clouds","289.48"
"8220DB000048","Clouds","289.48"
"8220DB000049","Clouds","289.48"
"8220DB000051","Clouds","289.48"
"8220DB000052","Clouds","289.48"
"8220DB000053","Clouds","289.48"
"8220DB000054","Clouds","289.47"
"8220DB000055","Clouds","289.47"
"8220DB000056","Clouds","289.41"
"8220DB000057","Clouds","289.41"
"8220DB000058","Clouds","289.41"
"8220DB000059","Clouds","289.41"
"8220DB000060","Clouds","289.43"
"8220DB000063","Clouds","289.35"
"8220DB000064","Clouds","289.28"
"8220DB000065","Clouds","289.28"
"8220DB000066","Clouds","289.28"
"8220DB000068","Clouds","289.28"
"8220DB000069","Clouds","289.28"
"8220DB000071","Clouds","289.28"
"8220DB000072","Clouds","289.28"
"8220DB000073","Clouds","289.28"
"8220DB000074","Clouds","289.28"
"8220DB000075","Clouds","289.35"
"8220DB000077","Clouds","289.43"
"8220DB000078","Clouds","289.41"
"8220DB000079","Clouds","289.41"
"8220DB000080","Clouds","289.41"
"8220DB000081","Clouds","289.47"
"8220DB000082","Clouds","289.47"
"8220DB000083","Clouds","289.47"
"8220DB000084","Clouds","289.48"
